city,month,delay_rate,on_time_rate,rain_mm,lon,lat
Melbourne,2004-01,13.04,86.96,24.4,144.83,-37.67
Sydney,2004-01,11.19,88.85,51.4,151.18,-33.94
Melbourne,2004-02,7.55,92.45,9.8,144.83,-37.67
Sydney,2004-02,10.65,89.37,112.0,151.18,-33.94
Melbourne,2004-03,7.72,92.28,20.2,144.83,-37.67
Sydney,2004-03,6.63,93.36,68.0,151.18,-33.94
Melbourne,2004-04,9.48,90.52,49.0,144.83,-37.67
Sydney,2004-04,9.86,90.14,44.6,151.18,-33.94
Melbourne,2004-05,8.08,91.9,18.2,144.83,-37.67
Sydney,2004-05,6.86,93.16,11.8,151.18,-33.94
Melbourne,2004-06,11.15,88.85,24.2,144.83,-37.67
Sydney,2004-06,8.02,91.98,43.8,151.18,-33.94
Melbourne,2004-07,14.31,85.69,27.8,144.83,-37.67
Sydney,2004-07,13.81,86.2,34.8,151.18,-33.94
Melbourne,2004-08,11.43,88.57,69.4,144.83,-37.67
Sydney,2004-08,12.99,87.03,102.8,151.18,-33.94
Melbourne,2004-09,16.98,83.0,47.8,144.83,-37.67
Sydney,2004-09,16.04,83.96,83.8,151.18,-33.94
Melbourne,2004-10,15.33,84.67,45.2,144.83,-37.67
Sydney,2004-10,16.27,83.73,174.6,151.18,-33.94
Melbourne,2004-11,13.06,86.94,113.0,144.83,-37.67
Sydney,2004-11,12.47,87.53,54.4,151.18,-33.94
Melbourne,2004-12,16.52,83.48,59.2,144.83,-37.67
Sydney,2004-12,19.18,80.82,94.0,151.18,-33.94
Melbourne,2005-01,11.55,88.45,24.0,144.83,-37.67
Sydney,2005-01,12.22,87.78,54.0,151.18,-33.94
Melbourne,2005-02,15.88,84.12,200.6,144.83,-37.67
Sydney,2005-02,15.34,84.66,106.8,151.18,-33.94
Melbourne,2005-03,12.46,87.54,7.8,144.83,-37.67
Sydney,2005-03,14.48,85.52,80.2,151.18,-33.94
Melbourne,2005-04,13.34,86.66,26.0,144.83,-37.67
Sydney,2005-04,11.71,88.29,25.8,151.18,-33.94
Melbourne,2005-05,10.62,89.38,8.0,144.83,-37.67
Sydney,2005-05,11.38,88.62,52.6,151.18,-33.94
Melbourne,2005-06,16.5,83.5,31.0,144.83,-37.67
Sydney,2005-06,17.31,82.69,67.8,151.18,-33.94
Melbourne,2005-07,12.62,87.38,21.8,144.83,-37.67
Sydney,2005-07,14.16,85.84,74.2,151.18,-33.94
Melbourne,2005-08,13.29,86.71,57.6,144.83,-37.67
Sydney,2005-08,12.42,87.58,1.4,151.18,-33.94
Melbourne,2005-09,12.85,87.15,39.4,144.83,-37.67
Sydney,2005-09,13.54,86.46,48.0,151.18,-33.94
